id,name,date,value
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T16:00Z,43138
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T17:00Z,41899
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T18:00Z,40837
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T19:00Z,39887
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T20:00Z,39285
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T21:00Z,38743
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T22:00Z,38491
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-05T23:00Z,38554
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06,39691
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T01:00Z,41664
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T02:00Z,41483
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T03:00Z,40807
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T04:00Z,39478
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T05:00Z,37553
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T06:00Z,35442
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T07:00Z,33884
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T08:00Z,32920
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T09:00Z,32407
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T10:00Z,32251
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T11:00Z,32959
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T12:00Z,34824
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T13:00Z,37624
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T14:00Z,39296
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T15:00Z,39818
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T16:00Z,40436
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T17:00Z,40780
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T18:00Z,40996
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T19:00Z,40777
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T20:00Z,40499
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T21:00Z,40152
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T22:00Z,40213
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2021-01-06T23:00Z,41028
